rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Bearish,Strong Bearish,19,6.83,12,63.2,7,36.8,1.73,-0.31,1.78,-1.05,1.66,0.96
2,Mildly Bearish,Strong Bearish,18,6.47,10,55.6,8,44.4,1.97,-0.26,2.0,-1.33,1.94,1.08
3,Bullish,Strong Bullish,18,6.47,12,66.7,6,33.3,1.59,-0.46,1.6,-1.16,1.57,0.92
4,Neutral20,Neutral20,17,6.12,9,52.9,8,47.1,1.87,-0.2,2.1,-1.23,1.6,0.97
5,Strong Bearish,Strong Bearish,16,5.76,11,68.8,5,31.2,1.72,-0.36,1.6,-0.96,1.99,0.97
6,Strong Bullish,Strong Bullish,13,4.68,8,61.5,5,38.5,2.13,-0.55,2.46,-1.52,1.61,1.0
7,Neutral20,Mildly Bullish,12,4.32,6,50.0,6,50.0,2.23,-0.56,2.65,-2.23,1.8,1.11
8,Mildly Bullish,Bullish,12,4.32,8,66.7,4,33.3,2.04,-0.48,2.13,-1.28,1.86,1.13
9,Mildly Bearish,Bearish,12,4.32,6,50.0,6,50.0,1.72,-0.14,1.82,-1.04,1.62,0.76
10,Neutral20,Bearish,12,4.32,8,66.7,4,33.3,1.99,-0.58,2.0,-1.34,1.97,0.94
11,Mildly Bullish,Strong Bullish,12,4.32,8,66.7,4,33.3,1.89,-0.48,1.87,-1.33,1.94,1.22
12,Neutral20,Mildly Bearish,12,4.32,9,75.0,3,25.0,2.07,-0.88,2.15,-1.43,1.83,0.74
13,Mildly Bearish,Neutral20,10,3.6,9,90.0,1,10.0,1.8,-0.94,1.82,-1.12,1.61,0.69
14,Neutral20,Bullish,8,2.88,5,62.5,3,37.5,1.83,-0.03,1.68,-1.03,2.07,1.63
15,Neutral20,Strong Bullish,8,2.88,4,50.0,4,50.0,2.11,0.11,2.1,-1.16,2.12,1.39
16,Neutral20,Strong Bearish,7,2.52,2,28.6,5,71.4,1.73,0.53,1.66,-1.11,1.76,1.18
17,Mildly Bullish,Neutral20,7,2.52,5,71.4,2,28.6,1.88,-0.97,1.93,-1.58,1.76,0.56
18,Bearish,Bearish,6,2.16,3,50.0,3,50.0,1.64,-0.07,1.63,-1.48,1.64,1.34
19,Mildly Bullish,Strong Bearish,5,1.8,2,40.0,3,60.0,1.33,0.25,1.34,-0.73,1.32,0.9
20,Mildly Bullish,Bearish,4,1.44,3,75.0,1,25.0,1.55,-0.52,1.63,-0.87,1.3,0.5
21,Bearish,Mildly Bearish,4,1.44,2,50.0,2,50.0,1.62,-0.31,1.93,-1.37,1.32,0.75
22,Bullish,Bullish,4,1.44,2,50.0,2,50.0,1.74,0.26,1.84,-0.88,1.64,1.42
23,Mildly Bearish,Bullish,4,1.44,4,100.0,0,0.0,1.58,-0.61,1.58,-0.61,0.0,0.0
24,Mildly Bullish,Mildly Bearish,4,1.44,1,25.0,3,75.0,1.74,0.13,1.79,-1.49,1.73,0.68
25,Mildly Bullish,Mildly Bullish,4,1.44,1,25.0,3,75.0,1.54,0.82,1.33,-0.58,1.62,1.29
26,Mildly Bearish,Mildly Bearish,3,1.08,2,66.7,1,33.3,1.47,-0.77,1.52,-1.22,1.36,0.12
27,Bullish,Strong Bearish,3,1.08,1,33.3,2,66.7,1.58,0.32,1.42,-0.83,1.66,0.9
28,Bullish,Mildly Bullish,3,1.08,0,0.0,3,100.0,1.54,1.13,0.0,0.0,1.54,1.13
29,Mildly Bearish,Strong Bullish,3,1.08,1,33.3,2,66.7,1.69,-0.1,2.21,-1.37,1.44,0.53
30,Bearish,Bullish,3,1.08,1,33.3,2,66.7,2.21,0.67,1.57,-1.12,2.52,1.56
31,Mildly Bearish,Mildly Bullish,2,0.72,1,50.0,1,50.0,2.64,-0.15,2.95,-2.35,2.32,2.05
32,Strong Bearish,Bullish,2,0.72,0,0.0,2,100.0,1.96,1.25,0.0,0.0,1.96,1.25
33,Strong Bearish,Mildly Bearish,2,0.72,2,100.0,0,0.0,1.73,-1.14,1.73,-1.14,0.0,0.0
34,Strong Bearish,Strong Bullish,2,0.72,2,100.0,0,0.0,1.46,-0.66,1.46,-0.66,0.0,0.0
35,Strong Bullish,Mildly Bullish,2,0.72,1,50.0,1,50.0,2.16,0.26,1.54,-1.36,2.78,1.87
36,Bearish,Neutral20,1,0.36,1,100.0,0,0.0,2.66,-2.26,2.66,-2.26,0.0,0.0
37,Bearish,Mildly Bullish,1,0.36,1,100.0,0,0.0,2.14,-1.31,2.14,-1.31,0.0,0.0
38,Strong Bearish,Neutral20,1,0.36,1,100.0,0,0.0,1.59,-1.16,1.59,-1.16,0.0,0.0
39,Strong Bullish,Bearish,1,0.36,0,0.0,1,100.0,1.63,1.3,0.0,0.0,1.63,1.3
40,Bearish,Strong Bullish,1,0.36,0,0.0,1,100.0,1.59,0.81,0.0,0.0,1.59,0.81
